1,1,121.39,335.40,135.46,57.89,0.9137,-1,-1,-1
1,2,733.58,268.21,72.36,37.10,0.8473,-1,-1,-1
1,3,205.66,250.69,98.28,40.56,0.8441,-1,-1,-1
2,1,100.28,337.53,139.60,60.20,0.9123,-1,-1,-1
2,2,722.41,270.33,72.33,36.71,0.8486,-1,-1,-1
2,3,210.68,250.84,93.07,40.60,0.8190,-1,-1,-1
3,1,77.23,341.07,144.68,60.43,0.9083,-1,-1,-1
3,2,709.41,271.71,75.09,37.41,0.8404,-1,-1,-1
3,3,214.34,251.00,89.54,40.49,0.8041,-1,-1,-1
4,1,51.82,344.05,145.85,62.46,0.9129,-1,-1,-1
4,2,694.75,272.78,76.40,38.54,0.8316,-1,-1,-1
4,3,215.71,251.69,88.33,40.16,0.8670,-1,-1,-1
5,1,23.90,347.53,149.66,63.55,0.9229,-1,-1,-1
5,2,680.47,274.63,76.54,39.28,0.8473,-1,-1,-1
5,3,215.06,251.39,88.67,40.45,0.8700,-1,-1,-1
6,1,1.27,351.17,150.33,65.22,0.9149,-1,-1,-1
6,2,666.35,276.81,77.91,39.75,0.8585,-1,-1,-1
6,3,214.53,251.84,89.36,40.30,0.8766,-1,-1,-1
7,1,0.00,355.31,128.60,66.77,0.9089,-1,-1,-1
7,2,651.60,279.17,79.04,40.18,0.8567,-1,-1,-1
7,3,214.01,252.11,89.77,40.19,0.8777,-1,-1,-1
8,1,0.00,359.23,105.28,68.42,0.8816,-1,-1,-1
8,2,636.75,280.57,80.38,41.21,0.8753,-1,-1,-1
8,3,213.24,252.23,90.77,40.20,0.8769,-1,-1,-1
9,1,0.00,363.39,80.44,61.14,0.9051,-1,-1,-1
9,2,622.15,281.50,82.13,42.62,0.8652,-1,-1,-1
9,3,212.58,252.57,90.95,40.19,0.8800,-1,-1,-1
10,1,0.00,367.73,53.85,58.25,0.8881,-1,-1,-1
10,2,605.75,284.92,84.08,41.93,0.8626,-1,-1,-1
10,3,209.88,252.46,93.08,40.02,0.8641,-1,-1,-1
11,1,0.00,375.69,29.65,53.36,0.7164,-1,-1,-1
11,2,590.97,285.80,84.82,43.83,0.8258,-1,-1,-1
11,3,209.47,252.26,94.03,40.32,0.8746,-1,-1,-1
12,2,575.57,288.44,86.66,43.59,0.8499,-1,-1,-1
12,3,208.82,252.21,94.51,40.51,0.8745,-1,-1,-1
13,2,560.00,289.75,88.20,42.88,0.8333,-1,-1,-1
13,3,207.89,252.75,95.70,40.47,0.8665,-1,-1,-1
14,2,544.02,292.84,89.00,43.53,0.5901,-1,-1,-1
14,3,207.60,252.95,96.19,40.46,0.8700,-1,-1,-1
15,2,528.18,295.37,90.42,44.81,0.3747,-1,-1,-1
15,3,208.07,253.12,95.57,40.39,0.8556,-1,-1,-1
16,2,510.11,298.54,93.48,45.18,0.8587,-1,-1,-1
16,3,207.77,253.29,95.39,40.13,0.8789,-1,-1,-1
17,2,493.35,301.96,94.71,45.15,0.8222,-1,-1,-1
17,3,207.89,253.20,95.27,40.24,0.8870,-1,-1,-1
18,2,475.88,304.16,96.46,45.92,0.8602,-1,-1,-1
18,3,207.32,252.54,95.17,40.30,0.8873,-1,-1,-1
19,2,458.64,305.32,97.92,48.22,0.7395,-1,-1,-1
19,3,206.11,252.53,96.56,40.32,0.8834,-1,-1,-1
20,2,441.72,306.51,96.62,50.57,0.8849,-1,-1,-1
20,3,206.65,253.05,96.35,40.03,0.8790,-1,-1,-1
21,2,424.35,309.75,99.42,50.81,0.8895,-1,-1,-1
21,3,207.19,253.06,96.35,40.28,0.8737,-1,-1,-1
22,2,406.20,312.41,102.41,51.90,0.8942,-1,-1,-1
22,3,207.10,253.28,96.18,40.24,0.8767,-1,-1,-1
23,2,387.43,314.55,105.07,53.80,0.8909,-1,-1,-1
23,3,207.60,253.07,95.70,40.42,0.8494,-1,-1,-1
24,2,368.95,318.28,106.81,54.15,0.8842,-1,-1,-1
24,3,207.31,253.32,96.11,40.29,0.8760,-1,-1,-1
25,2,350.07,320.85,108.66,55.80,0.9034,-1,-1,-1
25,3,207.53,253.53,95.88,40.30,0.8646,-1,-1,-1
26,2,330.25,323.40,110.90,57.83,0.9008,-1,-1,-1
